10X	Thanks
GIDK	Gee I Don't Know
GIWIST	Gee, I Wish I’d Said That
GJ	Good Job
GL	Good Luck
GLGH	Good Luck and Good Hunting
GLWTN	Guffawing loudly waking up the neighborhood
GMTA	Great Minds Think Alike
GNU	Good, N' You?
GO	Get Out or Get Off
GOYFA	Get Off Your Fat Ass
GOWI	Get On With It
GR8	Great
GR&D	Grinning, Running and Ducking
GTFO	Get The Fuck Out or Off
GTG	Got To Go
GTSY	Great To See You
H&K	Hugs and Kisses
H4U	Hot For You
HAGD	Have A Great Day
HAK	Hugs And Kisses
HAND	Have A Nice Day
HDYLTA	How Do You Like Them Apples?
HHIS	Hanging Head In Shame
HHOJ	Ha Ha Only Joking
HHOK	Ha Ha Only Kidding
HHOS	Ha Ha Only Serious
HHTYAY	Happy Holidays to You and Yours
HNY	Happy New Year
HOAS	Hang On A Second
HOYEW	Hanging On Your Every Word
HSIK	How Should I Know
HT	Hi There
HBASTD	Hitting Bottom And Starting To Dig
HTH	Hope That Helps!
HYFR	How You Feel Really?
IAC	In Any Case
IAE	In Any Event
IANAL	I Am Not A Lawyer 
IAW	In Accordance With
IBK	Idiot Behind Keyboard
IBTD	I Beg To Differ
IC	I See
IDK	I Don't Know
IDKTMWIM	I Don't Know Tell Me What It Means
IDR	I Don't Remember
IIABDFI	If It Ain't Broke, Don't Fix It
IIRC	If I Remember Correctly
IIWM	If It Were Me
IJWTK	I Just Want To Know
IJWTS	I Just Want To Say
IKWR	I Know What's Right
IKWUM	I Know What You Mean
IKYABWAI	I Know You Are But What Am I?
IMA	I Might Add
IMAO	In My Arrogant Opinion
IMCO	In My Considered Opinion
IME	In My Experience
IMHO	In My Humble Opinion
IMN2U	I'm Into You
IMNSHO	In My Not So Humble Opinion
IMO	In My Opinion
IMPOV	In My Point Of View
IMS	In a Manner of Speaking
INPO	In No Particular Order
IOH	I'm Outta Here
IOHE4U	I Only Have Eyes For You
IOW	In Other Words
IRL	In Real Life
ISS	I’m So Sure
ISSYGTI	I’m So Sure You Get The Idea!
ISWYM	I See What You Mean
ITFA	In The Final Analysis
ITSFWI	If The Shoe Fits Wear It
IWALU	I Will Always Love You
IWBNI	It Would Be Nice If
IWTAAQ	I Want To Ask A Question
IYFEG	Insert Your Favorite Ethnic Group
IYSS	If You Say So
IYSWIM	If You See What I Mean
J4F	Just For Fun
JAM	Just A Minute
JAS	Just A Second
JC	Just Chilling
JFI	Just For Information
JIC	Just In Case
JK	Just Kidding
JMO	Just My Opinion
JTLYK	Just To Let You Know
JWK	Just Wondering
K	Okay
KHYF	Know How You Feel
KIBO	Knowledge In, Bullshit Out
KISS	Keep It Simple, Stupid
KIT	Keep In Touch
KMA	Kiss My Ass
KMIA	Kiss My Italian Ass
KPC	Keep Parents Clueless
KWIM	Know What I Mean?
KWL	Cool
KYFC	Keep Your Fingers Crossed
L	Laugh
L8R	Later
LABATYD	Life's A Bitch And Then You Die
LAB&TYD	Life's A Bitch And Then You Die
LJBF	Let’s Just Be Friends
LLTA	Lots and Lots of Thunderous Applause
LMA	Leave Me Alone
LMAO	Laughing My Ass Off
LMBO	Laugh My Butt Off
LMHO	Laughing My Head Off
LMK	Let Me Know
LMS	Let Me See
LOLV	Lot's Of LoVe
LOL	Lots Of Luck
LOL	Laughing Out Loud
LOM	Laugh Out Major
LOML	Love Of My Life
LQL	Laughing Quite Loudly
LSHMBH	Laughing So Hard My Belly Hurts
LTHTT	Laughing Too Hard To Type
LTM	Laughing To Myself
LTNS	Long Time No See
LTNT	Long Time, No Type
LQTM	Laughing Quietly To Myself
LTS	Laughing to Self
LUWAMH	Love You With All My Heart
LY	Love You
LYLAB	Love You Like A Brother
LYLAS	Love You Like A Sister
LYMY	Love You Miss You
M8	Mate
MEGO	My Eyes Glaze Over
MLA	Multiple Letter Acronym
MOF	Matter Of Fact
MOS	Mom Over Shoulder
MOSS	Member Of Same Sex
MOTAS	Member Of The Appropriate Sex
MOTD	Message of the day
MOTOS	Member Of The Opposite Sex
MOTSS	Member Of The Same Sex
MRA	Moving Right Along
MTFBWY	May The Force Be With You
MYOB	Mind Your Own Business
NAC	Not A Clue
NAVY	Never Again Voluneer Yourself
NBD	No Big Deal
NE14KFC?	Anyone for KFC?
NFW	No Freakin Way
NFW	No Friggin Way
NHOH	Never Heard Of Him/Her
NIH	Not Invented Here
NIMBY	Not In My Back Yard
NINO	Nothing In, Nothing Out or No Input, No Output
NITL	Not In This Lifetime
NM	Never Mind
NOYB	None Of Your Business
NP	No Problem
NQA	No Questions Asked
NRN	No Response Necessary
NTIM	Not That It Matters
NTIMM	Not That It Matters Much
NTW	Not To Worry
NTYMI	Now That You Mention It
OATUS	On A Totally Unrelated Subject
OAUS	On An Unrelated Subject
OBO	Or Best Offer
OBTW	Oh, By The Way
OIC	Oh, I See
OMFG	Oh My Friggin God
OMG	Oh My God
ONNA	Oh No, Not Again
ONNTA	Oh No, Not This Again
ONYD	Oh No, You Didn't
OO	Over and Out 
OOTC	Obligatory On-Topic Comment
OST	On Second Thought
OTF	On the Floor (laughing)
OTFL	On the Floor Laughing
OTL	Out To Lunch
OTOH	On The Other Hand
OTOOH	On The Other Other Hand
OTT	Over The Top
OTTH	On The Third Hand
OTTOMH	Off The Top Of My Head
OWTTE	Or Words To That Effect
P911	Parent Alert Change Subject
PABG	Packing a Big Gun
PCMCIA	People Can't Memorize Computer Industry Acronyms
PCT	Podcasting
PD	Public Domain
PDS	Please Don't Shout.
PEBCAK	Problem Exists Between Chair And Keyboard
PITA	Pain In The Ass
PLOKTA	Press Lots Of Keys To Abort
PMBI	Pardon My Butting In
PMF	Pardon My French or Pure Freaking Magic
PMFBI	Pardon Me For Butting In
PMFJI	Pardon Me For Jumping In
PMIGBOM	Put Mind In Gear, Before Opening Mouth
PMJI	Pardon My Jumping In
PMP	Peeing My Pants
PNCAH	Please, No Cursing Allowed Here
POC	Piece Of Crap
POS	Parent Over Shoulder
POS	Piece of S**t
POSSLQ	Person Of Opposite Sex Sharing Living Quarters
POTUS	President of the United States
PPL	People
PTMM	Please Tell Me More
QT	Cutie
RAEBNC	Read And Enjoyed, But No Comment
RE	Hello again or In Regard To
REHI	Hi again
RHIP	Rank Has Its Privileges
RL	Real Life
RLCO	Real Life Conference
ROFL	Rolling On Floor Laughing
ROFLAS	Rolling On Floor Laughing And Screaming
ROFLMAO	Roll On Floor Laughing My Ass Off
ROFLOL	Roll On Floor Laughing Out Loud
ROTF	Rolling On The Floor
ROI	Return on Investment
ROTFL	Rolling On The Floor Laughing
ROTFLMAOTID	Rolling On The Floor Laughing My Ass Off Till I Die
ROTFLOL	Rolling On The Floor Laughing Out Loud
ROTFLOLAPMP	Rolling On The Floor Laughing Out Loud And Peeing My Pants
ROTFLTIC	Rolling On The Floor Laughing Till I Cry
RRQ	Return Receipt Request
RSN	Real Soon Now
RSVP	Respondez S'il Vous Plait
RTBM	Read The Bloody Manual
RTFAQ	Read The Frequently Asked Questions
RTFF	Read The Freaking FAQ
RTFM	Read The Fucking Manual
RTM	Read The Manual
RTSM	Read The Silly Manual
RTWFQ	Read The Whole Friggin' Question
RTWT	Read The Whole Thing (blog term)
RYFM	Read Your Friendly Manual
RYS	Read Your Screen
SAPFU	Surpassing All Previous Foul Ups
SCNR	Sorry, Could Not Resist
SEC	Wait a second
SETE	Smiling Ear To Ear
SFLA	Stupid Four Letter Acronym
SICS	Sitting In Chair Snickering
SLM	See Last Mail
SMH	Shaking My Head
SMOP	Small Matter of Programming
SNAFU	Situation Normal: All Fouled Up
SO	Significant Other
SOB	Stressd Out Bigtime
SOL	Shit Out Of Luck
SOS	Same Old Stuff or Help!
SOW	Speaking Of Which
SSDD	Same Stuff Different Day
STN	Spend The Night
SUFID	Screwing Up Face In Disgust
SUL	Snooze You Loose
SWAK	Sealed With A Kiss
SWIM	See What I Mean?
SWL	Screaming With Laughter
SYS	See You Soon
TAF	That's All, Folks!
TAFN	That’s All For Now
TAKS	That's a knee slapper
TANJ	There Ain’t No Justice
TANSTAAFL	There Ain’t No Such Thing As A Free Lunch
TARFU	Things Are Really Fouled Up
TBD	To Be Decided
TBYB	Try Before You Buy
TCO	Total Cost of Ownership
TDM	Too Darn Many
TFS	Three Finger Salute 
TFTHAOT	Thanks For The Help Ahead Of Time
TFTT	Thanks For The Thought
TGAL	Think Globally, Act Locally
THX	Thanks
TIA	Thanks In Advance
TIC	Tongue In Cheek
TINWIS	That Is Not What I Said
TMI	Too Much Information
TNSTAAFL	There's No Such Thing As A Free Lunch
TNTL	Trying Not To Laugh
TNX	Thanks
TNXE6	Thanks A Million
TOBAL	There Oughta Be A Law
TOBG	This Oughta Be Good
TOMA	Take Over My Arse/Ass
TOY	Thinking Of You
TPTB	The Powers That Be
TRDMC	Tears Running Down My Cheeks
TS	Totally Stinks
TSR	Totally Stupid Rules
TTBOMK	To The Best Of My Knowledge
TTFN	Ta Ta For Now
TTKSF	Trying To Keep a Straight Face
TTUL	Talk To You Later
TTTT	To Tell The Truth
TTYAWFN	Talk To You A While From Now
TTYL	Talk To You Later
TTYS	Talk To You Soon
TTYT	Talk To You Tomorrow
TYCLO	Turn Your CAPS LOCK Off (Stop Shouting)
TYVM	Thank You Very Much
UOK	Are You OK?
UOM	You Owe Me
UOMBT	You Owe Me Big Time
UR	Your
VIP	Very Important Person
WAEF	When All Else Fails
WAG	Wild Assed Guess
WAYD	What Are You Doing?
WB	Welcome Back
WDALYIC	Who died and left you in charge?
WDYMBT	What Do You Mean By That?
WDYT	What Do You Think?
WE	Whatever
WHT	What Happened To
WHT	Whatever Happened To
WIBAMU	Well, I'll Be A Monkey's Uncle
WIBNI	Wouldn’t It Be Nice If
WMMOWS	Wash My Mouth Out With Soap
WNOHGB	Where No One Has Gone Before
WOA	Work Of Art
W00T	We Owned the Other Team
WOTAM	Waste Of Time And Money
WRT	With Regard To, or With Respect To
WRUD	What Are You Doing
WT	Without Thinking
WTB	Want To Buy
WTF	What The Fuck?
WTFIYP	What The Fuck Is Your Problem?
WTG	Way To Go!
WTGP	Want To Go Private?
WTH	What the heck/hell?
WTMI	Way Too Much Information
WTN	What then now?
WTN	Who then now?
WTTM	Without Thinking Too Much
WUM	Watch Your Mouth
WWJD	What Would Jesus Do?
WWYD	What Would You Do?
WYM	Watch Your Mouth
W/ with
w/ with
XOXOXO	Kisses and hugs
YABA	Yet Another Bloody Acronym
YAOTM	Yet Another Off-Topic Message
YAUN	Yet Another Unix Nerd
YBYSA	You Bet Your Sweet A**
YGLT	You're Gonna Love This
YGTI	You Get The Idea?
YGTBK	You've Got To Be Kidding
YGWYPF	You Get What You Pay For
YIU	Yes, I Understand
YIWGP	Yes, I Will Go Private
YKYARW	You Know You're A Redneck When
YKWIM	You know what I mean
YMMV	Your Mileage May Vary
